,PROC_NUM,PARCEL_NO,ADDRESS,DATE,CONST_COST,ADMIN_COST,CAT_CODE,UNITS_VAL,PED_ORIENTED,LAND USE,UNITS
1147,M2019008067-0,101020601160,920 924 NW 2 AVE,6/13/2019,190457.76,3809.16,932-00,6637,0,High Turnover Rest.,sq. ft.
1289,M2019008067-0,101020601160,920 924 NW 2 AVE,6/13/2019,190457.76,3809.16,220-00,-8,0,Apartment (Rentals),unit
172,M2019008067-0,101020601160,920 924 NW 2 AVE,6/13/2019,190457.76,3809.16,820-00,-4437,0,Shopping Center/General Retail,sq. ft.
173,M2019008067-0,101020601160,920 924 NW 2 AVE,6/13/2019,190457.76,3809.16,820-00,-4437,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
174,M2019009631-0,101040601010,218 NW 8 ST,9/19/2019,0,0,820-00,6500.01,0,Shopping Center/General Retail,sq. ft.
175,M2019009631-0,101040601010,218 NW 8 ST,9/19/2019,0,0,820-00,6500.01,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
1233,M2019009631-0,101040601010,218 NW 8 ST,9/19/2019,0,0,222-00,360,0,High-Rise Apart or Condo over 3 floors,unit
3852,M2019019814-0,101040701140,375 NW 7 ST,8/29/2019,28648.82,572.98,520-00,264,0,Elementary School (30 SF/St),student
1608,M2019019814-0,101040701140,375 NW 7 ST,8/29/2019,28648.82,572.98,210-00,-1,0,Single Family Detached,unit
883,M2019019814-0,101040701140,375 NW 7 ST,8/29/2019,28648.82,572.98,231-00,-2,0,Duplex,unit
1148,M2018018854-0,101070101220,422 NW NORTH RIVER DR,6/19/2019,60621.33,1212.42,932-00,1280,0,High Turnover Rest.,sq. ft.
176,M2018018854-0,101070101220,422 NW NORTH RIVER DR,6/19/2019,60621.33,1212.42,820-00,589,0,Shopping Center/General Retail,sq. ft.
177,M2018018854-0,101070101220,422 NW NORTH RIVER DR,6/19/2019,60621.33,1212.42,820-00,589,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
46,M2018018854-0,101070101220,422 NW NORTH RIVER DR,6/19/2019,60621.33,1212.42,150-00,-1869,0,Warehousing,sq. ft.
571,M2019010080-0,101080001010,400 BISCAYNE BLVD,7/30/2019,2270570.69,45411.42,710-00,49528,0,General Office Building,sq. ft.
572,M2019010080-0,101080001010,400 BISCAYNE BLVD,7/30/2019,2270570.69,45411.42,710-00,49528,0,"General Office Building [1-50,000]",sq. ft.
3804,M2019010080-0,101080001010,400 BISCAYNE BLVD,7/30/2019,2270570.69,45411.42,560-00,16537,0,Church/Synagogue,sq. ft.
178,M2019020614-0,101080001010,400 BISCAYNE BLVD,10/29/2019,8899.45,177.99,820-00,3006,0,Shopping Center/General Retail,sq. ft.
179,M2019020614-0,101080001010,400 BISCAYNE BLVD,10/29/2019,8899.45,177.99,820-00,3006,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
182,M2019010080-0,101080001010,400 BISCAYNE BLVD,7/30/2019,2270570.69,45411.42,820-00,2491,0,Shopping Center/General Retail,sq. ft.
183,M2019010080-0,101080001010,400 BISCAYNE BLVD,7/30/2019,2270570.69,45411.42,820-00,2491,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
569,M2019020320-0,101080001010,400 BISCAYNE BLVD,9/9/2019,31977.91,639.56,710-00,2237,0,General Office Building,sq. ft.
570,M2019020320-0,101080001010,400 BISCAYNE BLVD,9/9/2019,31977.91,639.56,710-00,2237,0,"General Office Building [1-50,000]",sq. ft.
3857,M2019010080-0,101080001010,400 BISCAYNE BLVD,7/30/2019,2270570.69,45411.42,937-00,935,0,Coffee/Donut Shop,sq. ft.
1234,M2019010080-0,101080001010,400 BISCAYNE BLVD,7/30/2019,2270570.69,45411.42,222-00,646,0,High-Rise Apart or Condo over 3 floors,unit
180,M2019020614-0,101080001010,400 BISCAYNE BLVD,10/29/2019,8899.45,177.99,820-00,-2491,0,Shopping Center/General Retail,sq. ft.
181,M2019020614-0,101080001010,400 BISCAYNE BLVD,10/29/2019,8899.45,177.99,820-00,-2491,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
3805,M2019010080-0,101080001010,400 BISCAYNE BLVD,7/30/2019,2270570.69,45411.42,560-00,-27984,0,Church/Synagogue,sq. ft.
1307,M2017017465-0,101080901120,321 NW 4 AVE,10/3/2019,61011.68,1220.24,220-00,12,0,Apartment (Rentals),unit
1718,M2017017465-0,101080901120,321 NW 4 AVE,10/3/2019,61011.68,1220.24,210-00,-1,0,Single Family Detached,unit
1235,M2018014655-0,101100001140,227 NE 2 ST,3/14/2019,1719922.34,34398.44,222-00,231,0,High-Rise Apart or Condo over 3 floors,unit
3781,M2018014655-0,101100001140,227 NE 2 ST,3/14/2019,1719922.34,34398.44,310-00,222,0,Hotel,room
1236,M2018014655-0,101100001140,227 NE 2 ST,3/14/2019,1719922.34,34398.44,222-00,-47,0,High-Rise Apart or Condo over 3 floors,unit
1290,M2019002842-0,102000301030,228 NW 7 AVE,5/1/2019,65142.47,1302.85,220-00,12,0,Apartment (Rentals),unit
1609,M2019002842-0,102000301030,228 NW 7 AVE,5/1/2019,65142.47,1302.85,210-00,-1,0,Single Family Detached,unit
1291,M2018017294-0,102000301050,726 NW 3 ST,3/29/2019,105478.12,2109.57,220-00,24,0,Apartment (Rentals),unit
884,M2018017294-0,102000301050,726 NW 3 ST,3/29/2019,105478.12,2109.57,231-00,-2,0,Duplex,unit
186,M2018015802-0,102010201130,35 SW 6 AVE,10/2/2019,337385.25,6747.7,820-00,2341,0,Shopping Center/General Retail,sq. ft.
187,M2018015802-0,102010201130,35 SW 6 AVE,10/2/2019,337385.25,6747.7,820-00,2341,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
1239,M2018015802-0,102010201130,35 SW 6 AVE,10/2/2019,337385.25,6747.7,222-00,80,0,High-Rise Apart or Condo over 3 floors,unit
1238,M2018015802-1,102010201130,35 SW 6 AVE,10/2/2019,0,1491.07,222-00,20,0,High-Rise Apart or Condo over 3 floors,unit
184,M2019007862-0,102010501010,702 SW 1 ST,3/1/2019,764402.48,15288.05,820-00,6700,0,Shopping Center/General Retail,sq. ft.
185,M2019007862-0,102010501010,702 SW 1 ST,3/1/2019,764402.48,15288.05,820-00,6700,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
1237,M2019007862-0,102010501010,702 SW 1 ST,3/1/2019,764402.48,15288.05,222-00,192,0,High-Rise Apart or Condo over 3 floors,unit
886,M2019007862-0,102010501010,702 SW 1 ST,3/1/2019,764402.48,15288.05,231-00,4,0,Duplex,unit
885,M2019007862-0,102010501010,702 SW 1 ST,3/1/2019,764402.48,15288.05,231-00,-4,0,Duplex,unit
1610,M2019007862-0,102010501010,702 SW 1 ST,3/1/2019,764402.48,15288.05,210-00,-4,0,Single Family Detached,unit
1292,M2019007862-0,102010501010,702 SW 1 ST,3/1/2019,764402.48,15288.05,220-00,-9,0,Apartment (Rentals),unit
1149,M2019008977-0,102010801160,437 SW 2 ST,8/26/2019,22253.72,445.08,932-00,596,0,High Turnover Rest.,sq. ft.
1293,M2019008977-0,102010801160,437 SW 2 ST,8/26/2019,22253.72,445.08,220-00,-1,0,Apartment (Rentals),unit
833,M2019007302-0,102050201180,115 SW 8 ST,5/28/2019,2247364.3,44947.29,820-01,11536,0,"Shopping Center/General Retail [10,001 -50,000]",sq. ft.
573,M2019007302-0,102050201180,115 SW 8 ST,5/28/2019,2247364.3,44947.29,710-00,10516,0,General Office Building,sq. ft.
574,M2019007302-0,102050201180,115 SW 8 ST,5/28/2019,2247364.3,44947.29,710-00,10516,0,"General Office Building [1-50,000]",sq. ft.
1150,M2019007302-0,102050201180,115 SW 8 ST,5/28/2019,2247364.3,44947.29,932-00,3280,0,High Turnover Rest.,sq. ft.
3782,M2019007302-0,102050201180,115 SW 8 ST,5/28/2019,2247364.3,44947.29,310-00,264,0,Hotel,room
3783,M2019007302-0,102050201180,115 SW 8 ST,5/28/2019,2247364.3,44947.29,310-00,-23,0,Hotel,room
1294,M2019007302-0,102050201180,115 SW 8 ST,5/28/2019,2247364.3,44947.29,220-00,-29,0,Apartment (Rentals),unit
1152,M2019004270-0,102070201060,955 S MIAMI AVE,2/22/2019,1628807.03,32576.14,932-00,5000,0,High Turnover Rest.,sq. ft.
188,M2019004270-0,102070201060,955 S MIAMI AVE,2/22/2019,1628807.03,32576.14,820-00,4277,0,Shopping Center/General Retail,sq. ft.
189,M2019004270-0,102070201060,955 S MIAMI AVE,2/22/2019,1628807.03,32576.14,820-00,4277,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
3784,M2019004270-0,102070201060,955 S MIAMI AVE,2/22/2019,1628807.03,32576.14,310-00,252,0,Hotel,room
1151,M2019004270-0,102070201060,955 S MIAMI AVE,2/22/2019,1628807.03,32576.14,932-00,-1230,0,High Turnover Rest.,sq. ft.
262,M2019016156-0,102100601080,701 S MIAMI AVE,6/27/2019,9417.57,188.35,820-00,954,0,Shopping Center/General Retail,sq. ft.
263,M2019016156-0,102100601080,701 S MIAMI AVE,6/27/2019,9417.57,188.35,820-00,954,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
3868,M2019016156-0,102100601080,701 S MIAMI AVE,6/27/2019,9417.57,188.35,760-00,-954,0,Research Center,sq. ft.
575,M2020000761-0,102100601300,9 SE 6 ST,10/18/2019,24202.06,484.04,710-00,1640,0,General Office Building,sq. ft.
576,M2020000761-0,102100601300,9 SE 6 ST,10/18/2019,24202.06,484.04,710-00,1640,0,"General Office Building [1-50,000]",sq. ft.
577,M2019009300-0,131110354091,726 NW 73 ST,6/13/2019,6575.7,131.51,710-00,460,0,General Office Building,sq. ft.
578,M2019009300-0,131110354091,726 NW 73 ST,6/13/2019,6575.7,131.51,710-00,460,0,"General Office Building [1-50,000]",sq. ft.
50,M2019006252-0,131120100110,7726 NE 2 AVE,4/4/2019,17017.96,340.35,150-00,4827,0,Warehousing,sq. ft.
194,M2019006252-0,131120100110,7726 NE 2 AVE,4/4/2019,17017.96,340.35,820-00,1415,0,Shopping Center/General Retail,sq. ft.
195,M2019006252-0,131120100110,7726 NE 2 AVE,4/4/2019,17017.96,340.35,820-00,1415,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
192,M2019006252-0,131120100110,7726 NE 2 AVE,4/4/2019,17017.96,340.35,820-00,-518,0,Shopping Center/General Retail,sq. ft.
193,M2019006252-0,131120100110,7726 NE 2 AVE,4/4/2019,17017.96,340.35,820-00,-518,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
51,M2019006252-0,131120100110,7726 NE 2 AVE,4/4/2019,17017.96,340.35,150-00,-4497,0,Warehousing,sq. ft.
887,M2020003981-0,131120150030,7815 NW 4 AVE,12/9/2019,11089.55,221.79,231-00,2,0,Duplex,unit
54,M2019009691-0,131120170330,7744 NW 6 CT,3/14/2019,10525.52,210.51,150-00,4197,0,Warehousing,sq. ft.
1613,M2019009691-0,131120170330,7744 NW 6 CT,3/14/2019,10525.52,210.51,210-00,-1,0,Single Family Detached,unit
52,M2019009645-0,131120170340,7800 NW 6 CT,3/15/2019,10525.52,210.51,150-00,4197,0,Warehousing,sq. ft.
1612,M2019009645-0,131120170340,7800 NW 6 CT,3/15/2019,10525.52,210.51,210-00,-1,0,Single Family Detached,unit
53,M2018016912-0,131120170410,7771 NW 7 AVE,4/9/2019,29905.79,598.12,150-00,6717,0,Warehousing,sq. ft.
1153,M2019020045-0,131120300090,7142 NE 2 AVE,11/5/2019,25845.18,516.9,932-00,600,0,High Turnover Rest.,sq. ft.
47,M2019020045-0,131120300090,7142 NE 2 AVE,11/5/2019,25845.18,516.9,150-00,-600,0,Warehousing,sq. ft.
1611,M2019015916-0,131120460330,7620 NW 3 AVE,6/25/2019,0,175.45,210-00,1,0,Single Family Detached,unit
834,M2018017512-0,131120670230,7289 NW 2 AVE,7/10/2019,56825.63,1136.51,820-01,894,0,"Shopping Center/General Retail [10,001 -50,000]",sq. ft.
190,M2019019815-0,131120670230,7289 NW 2 AVE - UNIT 7299,9/4/2019,27947.61,558.96,820-00,299,0,Shopping Center/General Retail,sq. ft.
191,M2019019815-0,131120670230,7289 NW 2 AVE - UNIT 7299,9/4/2019,27947.61,558.96,820-00,299,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
3749,M2018017512-0,131120670230,7289 NW 2 AVE,7/10/2019,56825.63,1136.51,932-01,37,0,High turnover Rest/Seats,seats
3750,M2019019815-0,131120670230,7289 NW 2 AVE - UNIT 7299,9/4/2019,27947.61,558.96,932-01,20,0,High turnover Rest/Seats,seats
48,M2019019815-0,131120670230,7289 NW 2 AVE - UNIT 7299,9/4/2019,27947.61,558.96,150-00,-1367,0,Warehousing,sq. ft.
49,M2018017512-0,131120670230,7289 NW 2 AVE,7/10/2019,56825.63,1136.51,150-00,-1442,0,Warehousing,sq. ft.
3751,M2019015496-0,131130230040,7040 NW 2 AVE,6/28/2019,10112.83,202.26,932-01,12,0,High turnover Rest/Seats,seats
196,M2019015496-0,131130230040,7040 NW 2 AVE,6/28/2019,10112.83,202.26,820-00,-424,0,Shopping Center/General Retail,sq. ft.
197,M2019015496-0,131130230040,7040 NW 2 AVE,6/28/2019,10112.83,202.26,820-00,-424,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
891,M2020000536-0,131130240900,627 NW 69 ST,10/17/2019,2033.4,40.67,231-00,2,0,Duplex,unit
1616,M2020000536-0,131130240900,627 NW 69 ST,10/17/2019,2033.4,40.67,210-00,-1,0,Single Family Detached,unit
1615,M2020004581-0,131130241925,6825 NW 5 PL,12/16/2019,9056.15,181.12,210-00,1,0,Single Family Detached,unit
1295,M2019013298-0,131130350090,85 NE 55 ST,5/15/2019,32374.88,647.5,220-00,7,0,Apartment (Rentals),unit
892,M2019013298-0,131130350090,85 NE 55 ST,5/15/2019,32374.88,647.5,231-00,-2,0,Duplex,unit
890,M2019005942-0,131130420730,5650 NW 5 CT,2/6/2019,1969.71,39.39,231-00,2,0,Duplex,unit
1618,M2019005942-0,131130420730,5650 NW 5 CT,2/6/2019,1969.71,39.39,210-00,-1,0,Single Family Detached,unit
1614,M2019005657-0,131130510380,51 NE 59 TER,1/10/2019,0,175.45,210-00,1,0,Single Family Detached,unit
888,M2019010798-0,131130570590,37 NW 70 ST,4/12/2019,1969.71,39.39,231-00,2,0,Duplex,unit
1619,M2019010798-0,131130570590,37 NW 70 ST,4/12/2019,1969.71,39.39,210-00,-1,0,Single Family Detached,unit
889,M2019021975-0,131130600690,190 NW 57 ST,10/1/2019,1969.71,39.39,231-00,2,0,Duplex,unit
1617,M2019021975-0,131130600690,190 NW 57 ST,10/1/2019,1969.71,39.39,210-00,-1,0,Single Family Detached,unit
1621,M2019015888-0,131140160110,1312 NW 71 ST,6/25/2019,0,175.45,210-00,1,0,Single Family Detached,unit
1632,M2020000845-0,131140160320,1324 NW 70 ST,10/21/2019,0,0,210-00,1,0,Single Family Detached,unit
1633,M2020000845-0,131140160320,1324 NW 70 ST,10/21/2019,0,0,210-00,-1,0,Single Family Detached,unit
1624,M2020004787-0,131140170040,1453 NW 70 ST,12/20/2019,0,0,210-00,0,0,Single Family Detached,unit
1639,M2020005196-0,131140170410,1458 NW 70 ST,12/27/2019,0,0,210-00,1,0,Single Family Detached,unit
1635,M2020005196-0,131140170410,1458 NW 70 ST,12/27/2019,0,0,210-00,-1,0,Single Family Detached,unit
1631,M2020001626-0,131140170420,1466 NW 70 ST,12/17/2019,0,0,210-00,1,0,Single Family Detached,unit
1637,M2020001626-0,131140170420,1466 NW 70 ST,12/17/2019,0,0,210-00,-1,0,Single Family Detached,unit
1622,M2019008572-0,131140170570,1424 NW 69 TER,3/5/2019,0,0,210-00,0,0,Single Family Detached,unit
1638,M2019019303-0,131140180500,1441 NW 68 ST,8/19/2019,0,0,210-00,1,0,Single Family Detached,unit
1634,M2019019303-0,131140180500,1441 NW 68 ST,8/19/2019,0,0,210-00,-1,0,Single Family Detached,unit
1626,M2019005399-0,131140180510,1435 NW 68 ST,1/14/2019,0,0,210-00,0,0,Single Family Detached,unit
1629,M2019017023-0,131140180840,1520 NW 68 TER,7/12/2019,0,0,210-00,1,0,Single Family Detached,unit
1630,M2019017023-0,131140180840,1520 NW 68 TER,7/12/2019,0,0,210-00,-1,0,Single Family Detached,unit
1625,M2019006443-0,131140200930,1212 NW 71 ST,1/31/2019,0,0,210-00,0,0,Single Family Detached,unit
1627,M2019009318-0,131140270720,1601 NW 63 ST,3/11/2019,0,0,210-00,0,0,Single Family Detached,unit
1241,M2019007536-0,131140271250,1501 NW 62 ST,2/12/2019,143095.55,2861.91,222-00,60,0,High-Rise Apart or Condo over 3 floors,unit
200,M2019007536-0,131140271250,1501 NW 62 ST,2/12/2019,143095.55,2861.91,820-00,-5086,0,Shopping Center/General Retail,sq. ft.
201,M2019007536-0,131140271250,1501 NW 62 ST,2/12/2019,143095.55,2861.91,820-00,-5086,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
893,M2019018038-0,131140350178,1490 NW 55 TER,7/29/2019,10742.16,214.84,231-00,2,0,Duplex,unit
894,M2019018667-0,131140350190,1493 NW 55 ST,8/8/2019,1969.71,39.39,231-00,2,0,Duplex,unit
1641,M2019018667-0,131140350190,1493 NW 55 ST,8/8/2019,1969.71,39.39,210-00,-1,0,Single Family Detached,unit
895,M2019019183-0,131140350195,1489 NW 55 ST,8/16/2019,6355.93,127.12,231-00,2,0,Duplex,unit
1640,M2019019183-0,131140350195,1489 NW 55 ST,8/16/2019,6355.93,127.12,210-00,-0.5,0,Single Family Detached,unit
3447,M2019015964-0,131140351700,1490 NW 62 ST,6/28/2019,29372.2,587.44,565-00,3939,0,Day Care Center,sq. ft.
198,M2019007795-0,131140352030,1500 NW 62 ST,6/19/2019,239589.81,4791.79,820-00,498,0,Shopping Center/General Retail,sq. ft.
199,M2019007795-0,131140352030,1500 NW 62 ST,6/19/2019,239589.81,4791.79,820-00,498,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
1240,M2019007795-0,131140352030,1500 NW 62 ST,6/19/2019,239589.81,4791.79,222-00,60,0,High-Rise Apart or Condo over 3 floors,unit
1620,M2019015368-0,131140360190,836 NW 63 ST,12/12/2019,0,0,210-00,0,0,Single Family Detached,unit
1636,M2019021904-0,131140360760,1001 NW 63 ST,10/1/2019,0,0,210-00,0,0,Single Family Detached,unit
1623,M2019019041-0,131140361540,920 NW 65 ST,9/11/2019,0,0,210-00,0,0,Single Family Detached,unit
1628,M2019014587-0,131140361800,1090 NW 65 ST,6/4/2019,0,175.45,210-00,1,0,Single Family Detached,unit
897,M2019009159-0,131140450150,6511 NW 17 AVE,3/18/2019,0,0,231-00,3,0,Duplex,unit
896,M2019009159-0,131140450150,6511 NW 17 AVE,3/18/2019,0,0,231-00,-3,0,Duplex,unit
898,M2020000767-0,131150050960,1707 NW 68 TER,10/15/2019,2033.4,40.67,231-00,2,0,Duplex,unit
1644,M2020000767-0,131150050960,1707 NW 68 TER,10/15/2019,2033.4,40.67,210-00,-1,0,Single Family Detached,unit
1642,M2019013394-0,131150050970,1711 NW 68 TER,10/17/2019,0,0,210-00,1,0,Single Family Detached,unit
1643,M2019013394-0,131150050970,1711 NW 68 TER,10/17/2019,0,0,210-00,-1,0,Single Family Detached,unit
1296,M2019018832-0,131220000770,3731 NW 20 AVE,8/13/2019,15473.16,309.46,220-00,6,0,Apartment (Rentals),unit
899,M2019018832-0,131220000770,3731 NW 20 AVE,8/13/2019,15473.16,309.46,231-00,-4,0,Duplex,unit
1645,M2019014543-0,131220140080,1730 NW 47 ST,6/3/2019,0,0,210-00,0,0,Single Family Detached,unit
1646,M2019018737-0,131220480140,1763 NW 49 ST,8/26/2019,0,0,210-00,1,0,Single Family Detached,unit
1649,M2019018737-0,131220480140,1763 NW 49 ST,8/26/2019,0,0,210-00,-1,0,Single Family Detached,unit
1647,M2019014290-0,131220510140,1792 NW 53 ST,6/3/2019,0,0,210-00,1,0,Single Family Detached,unit
1648,M2019014290-0,131220510140,1792 NW 53 ST,6/3/2019,0,0,210-00,-1,0,Single Family Detached,unit
1657,M2020001889-0,131230100090,1181 NW 51 TER,11/1/2019,9056.15,181.12,210-00,1,0,Single Family Detached,unit
1651,M2019012151-0,131230111690,4631 NW 11 AVE,5/8/2019,0,0,210-00,0,0,Single Family Detached,unit
1656,M2020001505-0,131230140070,1468 NW 51 ST,11/4/2019,9056.15,181.12,210-00,1,0,Single Family Detached,unit
1653,M2019014941-0,131230140850,5100 NW 15 AVE,6/10/2019,0,0,210-00,1,0,Single Family Detached,unit
1652,M2019014941-0,131230140850,5100 NW 15 AVE,6/10/2019,0,0,210-00,-1,0,Single Family Detached,unit
1650,M2019006873-0,131230200020,1162 NW 41 ST,2/7/2019,8772.45,175.45,210-00,1,0,Single Family Detached,unit
902,M2019010018-0,131230210550,1029 NW 38 ST,3/22/2019,1969.71,39.39,231-00,2,0,Duplex,unit
1658,M2019010018-0,131230210550,1029 NW 38 ST,3/22/2019,1969.71,39.39,210-00,-1,0,Single Family Detached,unit
1654,M2019006214-0,131230280440,1144 NW 37 ST,1/25/2019,0,0,210-00,1,0,Single Family Detached,unit
1655,M2019006214-0,131230280440,1144 NW 37 ST,1/25/2019,0,0,210-00,-1,0,Single Family Detached,unit
900,M2019009733-0,131230370220,1401 NW 45 ST,3/25/2019,10742.16,214.84,231-00,2,0,Duplex,unit
901,M2019012000-0,131230373690,1395 NW 40 ST,4/22/2019,1969.71,39.39,231-00,2,0,Duplex,unit
1659,M2019012000-0,131230373690,1395 NW 40 ST,4/22/2019,1969.71,39.39,210-00,-1,0,Single Family Detached,unit
907,M2020000697-0,131240020710,257 NW 39 ST,10/15/2019,0,0,231-00,2,0,Duplex,unit
905,M2020000697-0,131240020710,257 NW 39 ST,10/15/2019,0,0,231-00,-2,0,Duplex,unit
904,M2019017751-0,131240020745,235 NW 39 ST,8/2/2019,10742.16,214.84,231-00,2,0,Duplex,unit
1668,M2019021456-0,131240032030,4011 NW 6 AVE,9/24/2019,8772.45,175.45,210-00,1,0,Single Family Detached,unit
579,M2019020599-0,131240131790,530 NW 54 ST,9/10/2019,39572.12,791.44,710-00,5080,0,General Office Building,sq. ft.
580,M2019020599-0,131240131790,530 NW 54 ST,9/10/2019,39572.12,791.44,710-00,5080,0,"General Office Building [1-50,000]",sq. ft.
772,M2019020599-0,131240131790,530 NW 54 ST,9/10/2019,39572.12,791.44,720-00,3000,0,Medical Office Building,sq. ft.
1297,M2019020599-0,131240131790,530 NW 54 ST,9/10/2019,39572.12,791.44,220-00,-2,0,Apartment (Rentals),unit
202,M2019020599-0,131240131790,530 NW 54 ST,9/10/2019,39572.12,791.44,820-00,-6930,0,Shopping Center/General Retail,sq. ft.
203,M2019020599-0,131240131790,530 NW 54 ST,9/10/2019,39572.12,791.44,820-00,-6930,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
906,M2019007927-0,131240132640,5200 NW 5 AVE,2/28/2019,1969.71,39.39,231-00,2,0,Duplex,unit
1670,M2019007927-0,131240132640,5200 NW 5 AVE,2/28/2019,1969.71,39.39,210-00,-1,0,Single Family Detached,unit
903,M2019012904-0,131240133430,5130 NW 5 AVE,8/26/2019,6355.93,127.12,231-00,2,0,Duplex,unit
1666,M2019012904-0,131240133430,5130 NW 5 AVE,8/26/2019,6355.93,127.12,210-00,-0.5,0,Single Family Detached,unit
1660,M2019011565-0,131240160370,100 NW 48 ST,4/16/2019,4386.22,87.73,210-00,1,0,Single Family Detached,unit
1669,M2019014229-0,131240160370,100 NW 48 ST,6/3/2019,4386.22,87.73,210-00,1,0,Single Family Detached,unit
1662,M2019011565-0,131240160370,100 NW 48 ST,4/16/2019,4386.22,87.73,210-00,-0.5,0,Single Family Detached,unit
1664,M2019014229-0,131240160370,100 NW 48 ST,6/3/2019,4386.22,87.73,210-00,-0.5,0,Single Family Detached,unit
1663,M2019008893-0,131240180060,408 NW 50 ST,5/13/2019,0,0,210-00,0,0,Single Family Detached,unit
1661,M2019018829-0,131240191130,277 NW 43 ST,8/8/2019,0,0,210-00,0,0,Single Family Detached,unit
1665,M2019012040-0,131240191340,275 NW 42 ST,4/23/2019,0,0,210-00,1,0,Single Family Detached,unit
1667,M2019012040-0,131240191340,275 NW 42 ST,4/23/2019,0,0,210-00,-1,0,Single Family Detached,unit
3752,M2019002066-0,131240200510,181 NW 44 ST,5/7/2019,13964.17,279.29,932-01,17,0,High turnover Rest/Seats,seats
908,M2019002066-0,131240200510,181 NW 44 ST,5/7/2019,13964.17,279.29,231-00,-2,0,Duplex,unit
1154,M2019004081-0,131240200520,4401 NW 2 AVE,1/4/2019,25347.63,506.95,932-00,834,0,High Turnover Rest.,sq. ft.
204,M2019004081-0,131240200520,4401 NW 2 AVE,1/4/2019,25347.63,506.95,820-00,-834,0,Shopping Center/General Retail,sq. ft.
205,M2019004081-0,131240200520,4401 NW 2 AVE,1/4/2019,25347.63,506.95,820-00,-834,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
55,M2019018751-0,131240200770,4501 NW 2 AVE,8/23/2019,4303.76,86.08,150-00,936,0,Warehousing,sq. ft.
835,M2015007554-0,131240241330,61 NE 41 ST,9/26/2019,75231.59,1504.63,820-01,29420,0,"Shopping Center/General Retail [10,001 -50,000]",sq. ft.
206,M2020003228-0,131240270300,80 NE 40 ST,12/10/2019,17125.83,342.52,820-00,960,0,Shopping Center/General Retail,sq. ft.
207,M2020003228-0,131240270300,80 NE 40 ST,12/10/2019,17125.83,342.52,820-00,960,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
3753,M2020003512-0,131250040300,180 NE 29 ST,12/5/2019,29332.75,586.66,932-01,30,0,High turnover Rest/Seats,seats
3757,M2019010230-0,131250040300,180 NE 29 ST,7/23/2019,15389.1,307.78,932-01,16,0,High turnover Rest/Seats,seats
844,M2019010230-0,131250040300,180 NE 29 ST,7/23/2019,15389.1,307.78,820-01,-609,0,"Shopping Center/General Retail [10,001 -50,000]",sq. ft.
838,M2020003512-0,131250040300,180 NE 29 ST,12/5/2019,29332.75,586.66,820-01,-1176,0,"Shopping Center/General Retail [10,001 -50,000]",sq. ft.
1170,M2019007583-0,131250080060,2601 N MIAMI AVE,3/21/2019,14497.39,289.94,932-00,477,0,High Turnover Rest.,sq. ft.
228,M2019007583-0,131250080060,2601 N MIAMI AVE,3/21/2019,14497.39,289.94,820-00,-477,0,Shopping Center/General Retail,sq. ft.
229,M2019007583-0,131250080060,2601 N MIAMI AVE,3/21/2019,14497.39,289.94,820-00,-477,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
599,M2019013177-0,131250080130,82 NE 26 ST,5/15/2019,68852.49,1377.05,710-00,6438,0,General Office Building,sq. ft.
600,M2019013177-0,131250080130,82 NE 26 ST,5/15/2019,68852.49,1377.05,710-00,6438,0,"General Office Building [1-50,000]",sq. ft.
70,M2019013177-0,131250080130,82 NE 26 ST,5/15/2019,68852.49,1377.05,150-00,-5041,0,Warehousing,sq. ft.
1162,M2019017026-0,131250100020,2509 N MIAMI AVE,9/30/2019,68201.54,1364.03,932-00,2244,0,High Turnover Rest.,sq. ft.
236,M2019017026-0,131250100020,2509 N MIAMI AVE,9/30/2019,68201.54,1364.03,820-00,-2244,0,Shopping Center/General Retail,sq. ft.
237,M2019017026-0,131250100020,2509 N MIAMI AVE,9/30/2019,68201.54,1364.03,820-00,-2244,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
69,M2019007841-0,131250100120,51 NE 24 ST,4/16/2019,16769.05,335.38,150-00,3647,0,Warehousing,sq. ft.
1177,M2019006069-0,131250100130,42 NE 25 ST,6/18/2019,245410.97,4908.21,932-00,5845,0,High Turnover Rest.,sq. ft.
